NAME,nrow.dc2.,pop,mean.times.,mean.dis.,mean.teo_dis.,sd.times.,sd.dis.,sd.teo_dis.,sum.times.,sum.dis.,sum.teo_dis.,skewness.times.,skewness.dis.,skewness.teo_dis.,LAND,WATER,AREA,CENTRO,DENSITY,MST,SUMDIS_MST
AURORA,82,383496,0.266250095016194,11.6212923854848,7747.73262170356,0.122388464521881,7.70576803600502,4666.69728721581,1790.26563888889,78141.57,52095754.1483348,0.438745085531944,1.24206111262865,0.860008686068858,420882189,1498809,422380998,0,0.65,114097.5,103582547
COLORADO SPRINGS,111,475282,0.290818596524452,13.387957957958,9441.28117519155,0.118018211504963,6.96038759149817,4967.9211334546,3583.17592777778,164953.03,116326025.359535,0.207258106075748,0.677696033138971,0.544218872460372,522749149,937520,523686669,1,0.45,164140.1,208764905
DENVER,178,706799,0.303506156630055,13.2871152632243,9453.03518306561,0.146139097589193,9.04878627690448,5724.06751284264,9616.28906666667,420988.96,299509966.740251,0.525609619132795,1.56255370175947,1.07934980140179,396460127,4275563,400735690,1,1.1,199306.7,576907717
FORT COLLINS,37,166788,0.209130107134161,7.26609934258583,5134.633629395,0.0791156657730367,3.53694316288688,2651.67079869324,286.299116666667,9947.29,7029313.43864176,-0.0802020847997681,0.34570855747398,0.34388196017446,147752955,3264784,151017739,0,0.5,54271.32,13903955
BRIDGEPORT,37,148529,0.10163637083029,4.25699050401753,3137.59329863315,0.0492114026253662,2.08672502876397,1652.67521366604,139.140191666667,5827.82,4295365.22582878,0.479469522847612,0.321111647495739,0.430803342029411,41606639,8705768,50312407,1,1.4,30509.83,7189755
HARTFORD,41,121562,0.0975079813603014,4.19003569303986,3078.12124946637,0.0449415386888229,2.15251439321807,1670.49855613699,163.910916666667,7043.45,5174321.82035297,0.307860947648782,0.492132455648096,0.497166829146315,45012646,1751553,46764199,1,1.6,31342,9299222
NEW HAVEN,31,133875,0.122930463059313,4.63984391259105,3203.17200964488,0.0669373827266895,2.48320870980364,1794.34581240546,118.136175,4458.89,3078248.30126873,0.607364889409005,0.547554147437741,0.616698225936624,48407074,3738291,52145365,1,1.3,30789.59,4928372
STAMFORD,33,134820,0.168723694010815,5.9668044077135,4347.78633772331,0.0980674685300578,3.84528130417215,3178.67824469956,183.740102777778,6497.85,4734739.32178068,0.645099859935123,0.747870175030967,1.00831939373803,97428717,37325590,134754307,0,1.1,38126.93,6922576
WATERBURY,28,113783,0.140830197704082,5.35447704081633,3736.7715707196,0.0658494261713833,2.56251796507093,1936.73979715233,110.410875,4197.91,2929628.91144417,0.16810085770001,0.132110303518052,0.286697108224176,73961202,1093581,75054783,1,0.75,32045.56,4610989
AMARILLO,53,200371,0.168730753332542,9.4649021003916,7141.87197473909,0.07754837665853,5.58011128481165,4415.43614336481,473.964686111111,26586.91,20061518.3770421,0.594438251205916,1.03189853545895,1.03886049275236,267078489,4037419,271115908,1,0.45,81831.94,32918321
ARLINGTON,86,392304,0.25152865700679,12.0800040562466,8246.60528747751,0.107203816746657,6.85259520976111,4293.12293801731,1860.30594722222,89343.71,60991892.7061836,0.163616859740676,0.765722463111699,0.399489759998318,248227373,9328442,257555815,0,0.5,117605.7,127306902
AUSTIN,218,944358,0.340427213559932,19.2710321100917,13891.9398278353,0.138554996655556,10.4062842048276,7857.94089922871,16178.4628972222,915836.53,660200548.378045,0.355069901494921,0.50294821475279,0.518876121946772,830247334,17024346,847271680,0,0.6,316201.2,1227134487
